########Default mode########
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
########Default mode########
2015-12-08 11:56:39 0450 GYROSCOPE 513257995099108  x:1.653234 y:2.835162 z:2.833941
2015-12-08 11:56:39 0450 ACCELEROMETER 513257995099108  x:-6.079268 y:7.788352 z:7.5922084
2015-12-08 11:56:39 0450 GRAVITY 15818009736738405  x:-5.7716427 y:5.391993 z:5.812483
########Default mode########
2015-12-08 11:56:39 1050 GYROSCOPE 513258054875671  x:-0.56166 y:3.139191 z:2.3199
2015-12-08 11:56:39 1050 ACCELEROMETER 513258054875671  x:-6.256276 y:8.191404 z:6.638996
2015-12-08 11:56:39 1050 GRAVITY 15818009736738405  x:-5.774745 y:6.432625 z:4.6307716
########Default mode########
2015-12-08 11:56:39 1650 GYROSCOPE 513258114396400  x:-0.086691 y:2.30769 z:3.169716
2015-12-08 11:56:39 1650 ACCELEROMETER 513258114396400  x:-4.7541003 y:9.270196 z:5.0698442
2015-12-08 11:56:39 1650 GRAVITY 15818009736738405  x:-5.276547 y:7.264092 z:3.944798
########Default mode########
2015-12-08 11:56:39 2250 GYROSCOPE 513258174344889  x:-1.164834 y:2.791206 z:3.361413
2015-12-08 11:56:39 2250 ACCELEROMETER 513258174344889  x:-3.017508 y:7.4690204 z:4.689516
2015-12-08 11:56:39 2250 GRAVITY 15818009736738405  x:-4.3571424 y:8.03366 z:3.5561254
########Default mode########
2015-12-08 11:56:39 2860 GYROSCOPE 513258233814577  x:-1.551891 y:0.92796 z:1.789986
2015-12-08 11:56:39 2860 ACCELEROMETER 513258233814577  x:-4.8964243 y:5.372432 z:9.852648
2015-12-08 11:56:39 2860 GRAVITY 15818009736738405  x:-3.3809557 y:8.365338 z:3.8419607
########Default mode########
2015-12-08 11:56:39 3460 GYROSCOPE 513258293518275  x:1.8168479 y:-0.151404 z:2.310132
2015-12-08 11:56:39 3460 ACCELEROMETER 513258293518275  x:-1.8334681 y:5.04712 z:3.9635441
2015-12-08 11:56:39 3460 GRAVITY 15818009736738405  x:-2.4744086 y:8.449665 z:4.318662
########Default mode########
2015-12-08 11:56:39 4070 GYROSCOPE 513258353237598  x:0.737484 y:1.899876 z:3.51648
2015-12-08 11:56:39 4070 ACCELEROMETER 513258353237598  x:3.36674 y:4.758884 z:1.8502121
2015-12-08 11:56:39 4070 GRAVITY 15818009736738405  x:-1.1134572 y:8.921897 z:3.9153996
########Default mode########
2015-12-08 11:56:39 4680 GYROSCOPE 513258412935254  x:0.22954799 y:2.681316 z:1.180707
2015-12-08 11:56:39 4680 ACCELEROMETER 513258412935254  x:1.941108 y:5.799404 z:-0.504712
2015-12-08 11:56:39 4680 GRAVITY 15818009736738405  x:-0.18057343 y:9.111324 z:3.622367
########Default mode########
2015-12-08 11:56:39 5280 GYROSCOPE 513258472835098  x:-0.368742 y:2.998776 z:1.0720379
2015-12-08 11:56:39 5280 ACCELEROMETER 513258472835098  x:-1.113476 y:4.035304 z:0.53341603
2015-12-08 11:56:39 5280 GRAVITY 15818009736738405  x:-0.14973697 y:9.158425 z:3.503029
########Default mode########
2015-12-08 11:56:39 5880 GYROSCOPE 513258532340410  x:1.584858 y:2.404149 z:0.371184
2015-12-08 11:56:39 5880 ACCELEROMETER 513258532340410  x:-1.400516 y:8.781033 z:-3.7506561
2015-12-08 11:56:39 5880 GRAVITY 15818009736738405  x:0.048503626 y:9.441471 z:2.65078
########Default mode########
2015-12-08 11:56:39 6490 GYROSCOPE 513258592053223  x:0.97557896 y:2.070816 z:-0.084249
2015-12-08 11:56:39 6490 ACCELEROMETER 513258592053223  x:-3.908528 y:12.119068 z:-2.498444
2015-12-08 11:56:39 6490 GRAVITY 15818009736738405  x:-0.032558456 y:9.742772 z:1.1170102
########Default mode########
2015-12-08 11:56:39 7090 GYROSCOPE 513258651752650  x:0.810744 y:1.349205 z:-0.96459
2015-12-08 11:56:39 7090 ACCELEROMETER 513258651752650  x:-4.578288 y:17.967508 z:7.01454
2015-12-08 11:56:39 7090 GRAVITY 15818009736738405  x:-0.20183921 y:9.804572 z:-0.003665756
########Default mode########
2015-12-08 11:56:39 7690 GYROSCOPE 513258711640410  x:-2.86935 y:-0.65811896 z:1.377288
2015-12-08 11:56:39 7690 ACCELEROMETER 513258711640410  x:-0.059800003 y:5.948904 z:-0.608764
2015-12-08 11:56:39 7690 GRAVITY 15818009736738405  x:-0.038542204 y:9.802616 z:0.27860016
########Default mode########
2015-12-08 11:56:39 8300 GYROSCOPE 513258771480098  x:1.66056 y:-0.111111 z:-0.692307
2015-12-08 11:56:39 8300 ACCELEROMETER 513258771480098  x:3.646604 y:10.463804 z:0.80251604
2015-12-08 11:56:39 8300 GRAVITY 15818009736738405  x:0.6046514 y:9.78214 z:0.3384325
########Default mode########
